ПОДРОБНЫЙ АНАЛИЗ ЗИГЗАГОВ
==================================================
Дата создания: 2025-08-06 14:50:54
Файл данных: processed_data/ml_data.csv
Колонка зигзага: zigzag (5.0%)

ОБЩАЯ СТАТИСТИКА
------------------------------
Всего записей: 266,184
Точек зигзага: 1,532
Анализируемых пар: 1,531

СТАТИСТИКА РАССТОЯНИЙ
------------------------------
Процентное изменение (%):
  Среднее: 10.0767
  Минимальное: 5.0073
  Максимальное: 65.9966
  Медиана: 8.5456
  Стд. отклонение: 5.3095

Изменение цены ($):
  Среднее: 2713.0940
  Минимальное: 167.6800
  Максимальное: 33515.6400
  Медиана: 1748.9900
  Стд. отклонение: 2920.2910

Расстояние в свечах:
  Среднее: 173.7348
  Минимальное: 1.0000
  Максимальное: 4038.0000
  Медиана: 65.0000
  Стд. отклонение: 307.9331

ДЕТАЛЬНЫЙ СПИСОК ВСЕХ РАССТОЯНИЙ
----------------------------------------
№    Тип1  Тип2  Процент%   Цена$        Свечи   
125  MAX   MIN   16.064     1674.86      124     
126  MIN   MAX   9.245      809.02       5       
127  MAX   MIN   16.213     1549.99      61      
128  MIN   MAX   10.862     870.06       1       
129  MAX   MIN   5.041      447.62       1       
130  MIN   MAX   8.153      687.54       3       
131  MAX   MIN   6.418      585.34       2       
132  MIN   MAX   8.356      713.13       10      
133  MAX   MIN   8.075      746.79       8       
134  MIN   MAX   5.487      466.45       17      
135  MAX   MIN   8.235      738.45       19      
136  MIN   MAX   15.117     1244.01      65      
137  MAX   MIN   6.038      572.00       22      
138  MIN   MAX   5.246      466.99       19      
139  MAX   MIN   10.130     949.00       24      
140  MIN   MAX   5.643      475.12       7       
141  MAX   MIN   10.840     964.12       25      
142  MIN   MAX   6.860      544.00       8       
143  MAX   MIN   6.656      564.00       16      
144  MIN   MAX   5.977      472.80       11      
145  MAX   MIN   14.504     1215.80      40      
146  MIN   MAX   5.344      383.00       2       
147  MAX   MIN   12.252     925.00       16      
148  MIN   MAX   13.872     918.99       4       
149  MAX   MIN   7.564      570.60       1       
150  MIN   MAX   5.960      415.61       2       
151  MAX   MIN   8.878      655.99       7       
152  MIN   MAX   6.193      416.99       3       
153  MAX   MIN   15.776     1128.00      20      
