ПОДРОБНЫЙ АНАЛИЗ ЗИГЗАГОВ
==================================================
Дата создания: 2025-08-06 14:50:54
Файл данных: processed_data/ml_data.csv
Колонка зигзага: zigzag (5.0%)

ОБЩАЯ СТАТИСТИКА
------------------------------
Всего записей: 266,184
Точек зигзага: 1,532
Анализируемых пар: 1,531

СТАТИСТИКА РАССТОЯНИЙ
------------------------------
Процентное изменение (%):
  Среднее: 10.0767
  Минимальное: 5.0073
  Максимальное: 65.9966
  Медиана: 8.5456
  Стд. отклонение: 5.3095

Изменение цены ($):
  Среднее: 2713.0940
  Минимальное: 167.6800
  Максимальное: 33515.6400
  Медиана: 1748.9900
  Стд. отклонение: 2920.2910

Расстояние в свечах:
  Среднее: 173.7348
  Минимальное: 1.0000
  Максимальное: 4038.0000
  Медиана: 65.0000
  Стд. отклонение: 307.9331

ДЕТАЛЬНЫЙ СПИСОК ВСЕХ РАССТОЯНИЙ
----------------------------------------
№    Тип1  Тип2  Процент%   Цена$        Свечи   
514  MIN   MAX   7.219      714.00       156     
515  MAX   MIN   12.109     1284.00      317     
516  MIN   MAX   17.016     1585.87      787     
517  MAX   MIN   9.407      1025.87      458     
518  MIN   MAX   5.757      568.81       158     
519  MAX   MIN   7.616      795.81       595     
520  MIN   MAX   6.962      672.00       68      
521  MAX   MIN   24.455     2525.00      478     
522  MIN   MAX   12.372     965.00       14      
523  MAX   MIN   6.268      549.36       38      
524  MIN   MAX   5.043      414.32       54      
525  MAX   MIN   10.197     879.96       73      
526  MIN   MAX   7.290      565.00       217     
527  MAX   MIN   7.276      605.00       121     
528  MIN   MAX   10.246     790.00       90      
529  MAX   MIN   8.682      738.00       565     
530  MIN   MAX   13.109     1017.51      402     
531  MAX   MIN   10.974     963.50       687     
532  MIN   MAX   6.615      516.99       314     
533  MAX   MIN   12.396     1033.00      195     
534  MIN   MAX   20.534     1499.00      197     
535  MAX   MIN   5.069      446.00       1       
536  MIN   MAX   24.147     2017.00      33      
537  MAX   MIN   13.500     1400.00      31      
538  MIN   MAX   5.289      474.44       12      
539  MAX   MIN   6.236      588.94       25      
540  MIN   MAX   11.819     1046.60      123     
541  MAX   MIN   9.989      989.10       322     
542  MIN   MAX   6.739      600.68       426     
543  MAX   MIN   8.595      817.68       361     
544  MIN   MAX   5.188      451.19       198     
545  MAX   MIN   25.770     2357.19      1143    
546  MIN   MAX   8.663      588.25       26      
547  MAX   MIN   11.700     863.25       228     
548  MIN   MAX   13.242     862.69       42      
549  MAX   MIN   7.288      537.69       166     
550  MIN   MAX   14.766     1010.00      218     
551  MAX   MIN   9.975      783.00       448     
552  MIN   MAX   9.665      683.00       21      
553  MAX   MIN   8.387      650.00       32      
554  MIN   MAX   7.746      550.00       455     
555  MAX   MIN   15.882     1215.00      857     
556  MIN   MAX   15.618     1005.00      38      
557  MAX   MIN   5.399      401.69       43      
558  MIN   MAX   9.336      657.07       410     
559  MAX   MIN   8.043      618.96       367     
560  MIN   MAX   6.388      452.03       226     
561  MAX   MIN   8.732      657.41       407     
562  MIN   MAX   23.053     1583.96      475     
563  MAX   MIN   9.261      783.00       230     
564  MIN   MAX   19.903     1526.98      837     
565  MAX   MIN   10.447     960.98       510     
566  MIN   MAX   16.761     1380.79      922     
567  MAX   MIN   5.466      525.78       143     
568  MIN   MAX   15.473     1406.99      866     
569  MAX   MIN   9.975      1047.33      386     
570  MIN   MAX   8.435      797.33       123     
571  MAX   MIN   8.780      900.00       99      
572  MIN   MAX   6.845      640.00       339     
573  MAX   MIN   14.605     1459.00      346     
574  MIN   MAX   5.167      440.77       63      
575  MAX   MIN   6.250      560.77       297     
576  MIN   MAX   9.238      777.00       566     
577  MAX   MIN   16.935     1555.99      188     
578  MIN   MAX   6.774      516.99       86      
579  MAX   MIN   6.860      559.00       117     
580  MIN   MAX   5.138      390.00       17      
581  MAX   MIN   30.451     2430.00      49      
582  MIN   MAX   16.505     916.00       1       
583  MAX   MIN   11.073     716.00       2       
584  MIN   MAX   9.697      557.59       3       
585  MAX   MIN   9.083      572.90       6       
586  MIN   MAX   8.637      495.28       13      
587  MAX   MIN   10.674     664.97       17      
588  MIN   MAX   7.201      400.71       3       
589  MAX   MIN   21.434     1278.71      5       
590  MIN   MAX   10.902     510.98       1       
591  MAX   MIN   15.159     787.98       1       
592  MIN   MAX   14.490     639.00       1       
593  MAX   MIN   10.458     528.00       3       
594  MIN   MAX   5.498      248.57       1       
595  MAX   MIN   20.703     987.44       5       
596  MIN   MAX   39.524     1494.84      2       
597  MAX   MIN   8.879      468.55       1       
598  MIN   MAX   14.866     714.81       1       
599  MAX   MIN   11.045     610.03       2       
600  MIN   MAX   5.451      267.80       1       
601  MAX   MIN   9.786      507.00       3       
602  MIN   MAX   11.254     526.00       1       
603  MAX   MIN   6.577      342.00       4       
604  MIN   MAX   15.274     742.00       8       
605  MAX   MIN   8.464      474.00       2       
606  MIN   MAX   11.198     574.00       5       
607  MAX   MIN   7.614      434.00       5       
608  MIN   MAX   13.084     689.00       10      
609  MAX   MIN   17.380     1035.00      9       
610  MIN   MAX   9.756      480.00       3       
611  MAX   MIN   10.981     593.00       9       
612  MIN   MAX   10.256     493.00       2       
613  MAX   MIN   8.241      436.77       1       
614  MIN   MAX   13.608     661.77       1       
615  MAX   MIN   6.111      337.61       1       
616  MIN   MAX   9.863      511.61       12      
617  MAX   MIN   6.615      376.98       9       
618  MIN   MAX   5.985      318.50       8       
619  MAX   MIN   8.289      467.52       27      
620  MIN   MAX   6.283      325.00       33      
621  MAX   MIN   8.055      442.87       20      
622  MIN   MAX   10.660     538.87       52      
623  MAX   MIN   7.758      434.00       34      
624  MIN   MAX   15.116     780.00       4       
625  MAX   MIN   25.217     1497.88      53      
626  MIN   MAX   10.989     488.16       4       
627  MAX   MIN   8.727      430.28       6       
628  MIN   MAX   15.556     700.00       10      
629  MAX   MIN   7.154      372.00       14      
630  MIN   MAX   5.373      259.41       1       
631  MAX   MIN   5.256      267.41       4       
632  MIN   MAX   12.863     620.00       46      
633  MAX   MIN   7.151      389.00       23      
634  MIN   MAX   9.384      474.00       28      
635  MAX   MIN   9.333      515.63       65      
636  MIN   MAX   27.761     1390.63      134     
637  MAX   MIN   5.382      344.45       11      
638  MIN   MAX   13.945     844.45       37      
639  MAX   MIN   17.826     1230.00      39      
640  MIN   MAX   12.522     710.00       22      
641  MAX   MIN   8.150      519.98       37      
642  MIN   MAX   10.187     596.96       39      
643  MAX   MIN   5.838      376.98       4       
644  MIN   MAX   5.393      327.87       32      
645  MAX   MIN   9.966      638.63       56      
646  MIN   MAX   6.513      375.76       7       
647  MAX   MIN   7.437      457.00       9       
648  MIN   MAX   16.034     912.00       52      
649  MAX   MIN   7.045      465.00       2       
650  MIN   MAX   11.377     698.00       76      
651  MAX   MIN   5.444      371.99       26      
652  MIN   MAX   7.692      496.95       74      
653  MAX   MIN   7.300      507.96       8       
654  MIN   MAX   6.087      392.59       147     
655  MAX   MIN   14.393     984.83       287     
656  MIN   MAX   12.654     741.24       90      
657  MAX   MIN   6.802      448.89       169     
658  MIN   MAX   17.039     1047.89      97      
659  MAX   MIN   7.599      547.00       13      
660  MIN   MAX   5.969      397.00       58      
661  MAX   MIN   6.327      445.90       22      
662  MIN   MAX   12.990     857.59       368     
663  MAX   MIN   9.648      719.71       301     
664  MIN   MAX   6.484      437.02       198     
665  MAX   MIN   8.388      602.00       30      
666  MIN   MAX   6.129      403.00       162     
667  MAX   MIN   7.305      509.73       125     
668  MIN   MAX   12.752     824.81       282     
669  MAX   MIN   7.433      542.08       181     
670  MIN   MAX   40.127     2709.00      904     
671  MAX   MIN   11.195     1059.00      47      
672  MIN   MAX   9.511      799.00       221     
673  MAX   MIN   7.370      678.00       114     
674  MIN   MAX   18.130     1545.00      361     
675  MAX   MIN   19.370     1950.00      194     
676  MIN   MAX   9.438      766.12       2       
677  MAX   MIN   6.384      567.12       9       
678  MIN   MAX   7.023      584.00       20      
679  MAX   MIN   7.247      645.00       35      
680  MIN   MAX   11.060     913.00       79      
681  MAX   MIN   10.558     968.00       23      
682  MIN   MAX   21.207     1739.00      255     
683  MAX   MIN   6.871      682.88       66      
684  MIN   MAX   5.118      473.69       21      
685  MAX   MIN   5.959      579.81       51      
686  MIN   MAX   8.743      800.00       212     
687  MAX   MIN   11.407     1135.00      357     
688  MIN   MAX   5.591      492.85       129     
689  MAX   MIN   7.146      665.13       180     
690  MIN   MAX   20.101     1737.28      766     
691  MAX   MIN   10.732     1114.00      63      
692  MIN   MAX   6.644      615.63       203     
693  MAX   MIN   5.153      509.17       272     
694  MIN   MAX   6.618      620.26       307     
695  MAX   MIN   10.831     1082.27      431     
696  MIN   MAX   9.759      869.55       730     
697  MAX   MIN   9.683      947.00       475     
698  MIN   MAX   29.003     2561.86      2890    
699  MAX   MIN   6.274      714.86       4       
700  MIN   MAX   5.264      562.23       4       
701  MAX   MIN   6.024      677.23       40      
702  MIN   MAX   14.751     1558.46      456     
703  MAX   MIN   13.238     1604.96      1       
704  MIN   MAX   14.725     1548.85      760     
705  MAX   MIN   7.809      942.35       170     
706  MIN   MAX   12.072     1343.00      556     
707  MAX   MIN   10.831     1350.36      776     
708  MIN   MAX   8.394      933.21       664     
709  MAX   MIN   17.344     2090.05      222     
710  MIN   MAX   5.704      568.17       41      
711  MAX   MIN   6.206      653.47       20      
712  MIN   MAX   7.610      751.55       25      
713  MAX   MIN   7.547      802.05       87      
714  MIN   MAX   6.239      613.00       214     
715  MAX   MIN   5.633      588.00       88      
716  MIN   MAX   13.500     1329.79      1015    
717  MAX   MIN   9.329      1042.97      419     
718  MIN   MAX   8.022      813.18       400     
719  MAX   MIN   5.260      576.00       422     
720  MIN   MAX   33.598     3485.48      2466    
721  MAX   MIN   7.009      971.48       46      
722  MIN   MAX   9.404      1212.00      271     
723  MAX   MIN   6.418      904.95       203     
724  MIN   MAX   20.954     2764.95      337     
725  MAX   MIN   10.124     1615.78      172     
726  MIN   MAX   10.428     1495.78      159     
727  MAX   MIN   6.531      1034.46      18      
728  MIN   MAX   24.797     3671.39      818     
729  MAX   MIN   6.833      1262.48      4       
730  MIN   MAX   6.074      1045.55      11      
731  MAX   MIN   5.416      988.98       27      
732  MIN   MAX   9.813      1694.88      236     
733  MAX   MIN   7.145      1355.04      134     
734  MIN   MAX   10.637     1873.35      296     
735  MAX   MIN   11.723     2284.21      55      
736  MIN   MAX   5.233      900.00       2       
737  MAX   MIN   9.757      1766.00      19      
738  MIN   MAX   6.654      1086.93      10      
739  MAX   MIN   7.077      1232.93      24      
740  MIN   MAX   7.843      1269.62      31      
741  MAX   MIN   5.840      1019.54      59      
742  MIN   MAX   20.987     3449.92      365     
743  MAX   MIN   9.488      1886.88      8       
744  MIN   MAX   8.267      1488.18      8       
745  MAX   MIN   5.948      1159.30      53      
746  MIN   MAX   6.918      1268.00      143     
747  MAX   MIN   9.940      1948.00      546     
748  MIN   MAX   5.607      989.57       59      
749  MAX   MIN   5.726      1067.24      140     
750  MIN   MAX   35.440     6227.67      572     
751  MAX   MIN   8.399      1999.00      1       
752  MIN   MAX   8.709      1898.70      30      
753  MAX   MIN   5.859      1388.60      15      
754  MIN   MAX   8.892      1983.90      287     
755  MAX   MIN   10.208     2480.00      62      
756  MIN   MAX   10.245     2235.00      148     
757  MAX   MIN   5.156      1240.00      40      
758  MIN   MAX   5.655      1290.00      9       
759  MAX   MIN   6.224      1500.00      36      
760  MIN   MAX   25.761     5822.00      340     
761  MAX   MIN   9.577      2722.00      40      
762  MIN   MAX   7.004      1800.00      65      
763  MAX   MIN   5.891      1620.00      63      
764  MIN   MAX   28.671     7420.00      438     
765  MAX   MIN   9.009      3000.00      9       
766  MIN   MAX   14.779     4478.11      43      
767  MAX   MIN   19.116     6648.11      106     
768  MIN   MAX   16.791     4723.38      57      
769  MAX   MIN   8.990      2953.38      21      
770  MIN   MAX   19.621     5866.58      90      
771  MAX   MIN   6.734      2408.68      20      
772  MIN   MAX   21.006     7007.10      132     
773  MAX   MIN   9.575      3865.00      2       
774  MIN   MAX   9.504      3469.00      15      
775  MAX   MIN   8.679      3469.00      16      
776  MIN   MAX   14.932     5450.00      50      
777  MAX   MIN   7.862      3298.00      24      
778  MIN   MAX   6.013      2324.13      13      
779  MAX   MIN   5.506      2256.13      27      
780  MIN   MAX   6.870      2660.00      28      
781  MAX   MIN   15.150     6268.89      121     
782  MIN   MAX   11.076     3888.89      8       
783  MAX   MIN   13.846     5400.00      21      
784  MIN   MAX   7.143      2399.95      2       
785  MAX   MIN   9.617      3461.95      12      
786  MIN   MAX   11.746     3822.00      12      
787  MAX   MIN   8.394      3051.99      9       
788  MIN   MAX   5.410      1801.99      1       
789  MAX   MIN   11.379     3995.00      7       
790  MIN   MAX   8.533      2655.11      2       
791  MAX   MIN   9.920      3350.11      7       
792  MIN   MAX   10.405     3165.17      4       
793  MAX   MIN   7.057      2370.17      8       
794  MIN   MAX   14.171     4423.55      17      
795  MAX   MIN   5.504      1961.52      9       
796  MIN   MAX   8.763      2950.97      22      
797  MAX   MIN   11.185     4097.00      28      
798  MIN   MAX   9.280      3019.00      15      
799  MAX   MIN   8.917      3170.00      26      
800  MIN   MAX   23.842     7720.00      155     
801  MAX   MIN   14.195     5692.00      98      
802  MIN   MAX   9.477      3261.00      37      
803  MAX   MIN   5.705      2149.00      17      
804  MIN   MAX   6.841      2430.00      18      
805  MAX   MIN   10.804     4100.00      96      
806  MIN   MAX   8.870      3002.50      46      
807  MAX   MIN   5.570      2052.50      32      
808  MIN   MAX   7.672      2669.83      27      
809  MAX   MIN   5.524      2069.83      21      
810  MIN   MAX   6.921      2450.00      90      
811  MAX   MIN   11.757     4450.00      96      
812  MIN   MAX   6.796      2270.00      30      
813  MAX   MIN   12.989     4633.00      60      
814  MIN   MAX   5.523      1714.24      20      
815  MAX   MIN   11.912     3901.24      23      
816  MIN   MAX   11.449     3302.90      20      
817  MAX   MIN   5.141      1652.90      7       
818  MIN   MAX   10.907     3326.53      49      
819  MAX   MIN   7.203      2436.37      67      
820  MIN   MAX   5.355      1680.84      68      
821  MAX   MIN   6.565      2171.00      54      
822  MIN   MAX   12.864     3975.00      74      
823  MAX   MIN   11.577     4037.63      99      
824  MIN   MAX   6.760      2084.51      33      
825  MAX   MIN   11.178     3680.16      63      
826  MIN   MAX   8.236      2408.27      25      
827  MAX   MIN   5.712      1807.89      13      
828  MIN   MAX   14.972     4467.90      97      
829  MAX   MIN   6.979      2394.60      28      
830  MIN   MAX   19.033     6074.60      8       
831  MAX   MIN   6.582      2500.59      3       
832  MIN   MAX   8.573      3042.49      14      
833  MAX   MIN   13.059     5031.90      24      
834  MIN   MAX   5.537      1854.94      9       
835  MAX   MIN   7.156      2529.94      23      
836  MIN   MAX   6.017      1975.00      73      
837  MAX   MIN   7.553      2628.33      80      
838  MIN   MAX   20.318     6536.60      345     
839  MAX   MIN   6.578      2546.32      28      
840  MIN   MAX   13.256     4793.56      195     
841  MAX   MIN   8.801      3604.51      97      
842  MIN   MAX   20.259     7567.00      84      
843  MAX   MIN   5.335      2396.38      15      
844  MIN   MAX   13.218     5620.57      56      
845  MAX   MIN   6.608      3181.10      24      
846  MIN   MAX   5.646      2538.34      30      
847  MAX   MIN   7.942      3772.43      77      
848  MIN   MAX   12.026     5258.80      129     
849  MAX   MIN   5.840      2860.80      58      
850  MIN   MAX   7.767      3582.43      182     
851  MAX   MIN   8.322      4136.64      56      
852  MIN   MAX   11.232     5118.39      137     
853  MAX   MIN   5.798      2939.18      22      
854  MIN   MAX   20.839     9950.46      363     
855  MAX   MIN   6.649      3836.53      39      
856  MIN   MAX   8.334      4488.87      82      
857  MAX   MIN   18.390     10730.80     77      
858  MIN   MAX   15.471     7367.46      31      
859  MAX   MIN   11.592     6374.46      30      
860  MIN   MAX   5.404      2626.99      3       
861  MAX   MIN   12.181     6241.99      11      
862  MIN   MAX   8.843      3979.17      4       
863  MAX   MIN   8.344      4086.61      7       
864  MIN   MAX   10.486     4707.44      6       
865  MAX   MIN   7.583      3761.16      6       
866  MIN   MAX   7.660      3511.16      4       
867  MAX   MIN   8.306      4099.00      17      
868  MIN   MAX   13.533     6123.99      54      
869  MAX   MIN   6.514      3346.81      50      
870  MIN   MAX   8.357      4013.55      60      
871  MAX   MIN   15.247     7934.95      75      
872  MIN   MAX   9.788      4317.33      37      
873  MAX   MIN   7.071      3424.11      21      
874  MIN   MAX   7.542      3394.00      33      
875  MAX   MIN   11.146     5394.00      134     
876  MIN   MAX   16.744     7200.00      129     
877  MAX   MIN   6.280      3152.40      82      
878  MIN   MAX   11.887     5592.40      65      
879  MAX   MIN   12.044     6340.00      145     
880  MIN   MAX   20.547     9513.09      479     
881  MAX   MIN   5.031      2808.09      16      
882  MIN   MAX   8.268      4382.69      57      
883  MAX   MIN   5.428      3114.87      52      
884  MIN   MAX   7.144      3877.18      59      
885  MAX   MIN   5.481      3187.16      57      
886  MIN   MAX   12.520     6881.16      125     
887  MAX   MIN   13.862     8572.66      210     
888  MIN   MAX   7.355      3918.09      92      
889  MAX   MIN   5.361      3065.74      49      
890  MIN   MAX   11.097     6006.28      113     
891  MAX   MIN   6.418      3859.23      31      
892  MIN   MAX   6.414      3609.26      148     
893  MAX   MIN   7.398      4429.89      81      
894  MIN   MAX   5.375      2980.62      99      
895  MAX   MIN   9.294      5430.73      80      
896  MIN   MAX   7.925      4200.00      125     
897  MAX   MIN   11.840     6772.44      95      
898  MIN   MAX   18.586     9372.44      550     
899  MAX   MIN   5.069      3031.00      5       
900  MIN   MAX   6.044      3431.00      170     
901  MAX   MIN   6.332      3812.00      186     
902  MIN   MAX   5.510      3107.24      192     
903  MAX   MIN   6.761      4022.24      169     
904  MIN   MAX   10.865     6027.00      232     
905  MAX   MIN   5.082      3125.39      62      
906  MIN   MAX   11.100     6479.39      325     
907  MAX   MIN   21.468     13922.70     374     
908  MIN   MAX   10.987     5595.74      16      
909  MAX   MIN   6.125      3462.38      17      
910  MIN   MAX   8.409      4462.15      81      
911  MAX   MIN   7.295      4196.85      94      
912  MIN   MAX   7.025      3746.28      52      
913  MAX   MIN   7.911      4515.24      118     
914  MIN   MAX   5.632      2960.48      42      
915  MAX   MIN   14.448     8021.48      78      
916  MIN   MAX   8.003      3801.34      50      
917  MAX   MIN   8.521      4371.34      196     
918  MIN   MAX   20.239     9498.00      282     
919  MAX   MIN   7.261      4097.06      96      
920  MIN   MAX   12.709     6650.50      338     
921  MAX   MIN   10.311     6081.44      158     
922  MIN   MAX   10.321     5460.00      137     
923  MAX   MIN   5.415      3160.00      36      
924  MIN   MAX   7.790      4300.00      197     
925  MAX   MIN   5.486      3264.34      65      
926  MIN   MAX   5.805      3264.34      61      
927  MAX   MIN   10.252     6100.00      64      
928  MIN   MAX   8.614      4600.01      128     
929  MAX   MIN   20.690     12000.01     80      
930  MIN   MAX   11.668     5367.19      28      
931  MAX   MIN   5.665      2910.07      16      
932  MIN   MAX   5.009      2427.22      12      
933  MAX   MIN   7.634      3884.34      14      
934  MIN   MAX   9.538      4483.00      87      
935  MAX   MIN   9.743      5016.00      131     
936  MIN   MAX   7.164      3328.89      43      
937  MAX   MIN   11.990     5970.50      40      
938  MIN   MAX   6.527      2860.61      13      
939  MAX   MIN   9.615      4489.03      16      
940  MIN   MAX   8.539      3603.03      30      
941  MAX   MIN   8.295      3799.00      23      
942  MIN   MAX   6.996      2938.20      14      
943  MAX   MIN   5.428      2439.20      9       
944  MIN   MAX   7.763      3299.29      28      
945  MAX   MIN   15.828     7249.29      101     
946  MIN   MAX   6.065      2338.00      6       
947  MAX   MIN   11.140     4555.00      11      
948  MIN   MAX   8.154      2962.51      2       
949  MAX   MIN   23.655     9295.51      4       
950  MIN   MAX   26.667     8000.00      3       
951  MAX   MIN   10.543     4006.30      1       
952  MIN   MAX   18.969     6448.30      13      
953  MAX   MIN   7.027      2842.00      5       
954  MIN   MAX   6.915      2600.00      6       
955  MAX   MIN   7.878      3167.04      5       
956  MIN   MAX   7.472      2767.04      3       
957  MAX   MIN   12.437     4950.00      11      
958  MIN   MAX   17.018     5930.87      26      
959  MAX   MIN   5.103      2080.87      9       
960  MIN   MAX   9.694      3751.67      15      
961  MAX   MIN   10.227     4341.67      14      
962  MIN   MAX   10.732     4090.00      31      
963  MAX   MIN   7.057      2978.00      22      
964  MIN   MAX   6.546      2567.40      32      
965  MAX   MIN   12.418     5189.40      2       
966  MIN   MAX   5.105      1868.37      1       
967  MAX   MIN   12.947     4980.37      26      
968  MIN   MAX   13.772     4612.00      20      
969  MAX   MIN   7.610      2899.38      13      
970  MIN   MAX   10.308     3628.38      32      
971  MAX   MIN   12.950     5028.41      77      
972  MIN   MAX   5.981      2021.62      7       
973  MAX   MIN   8.995      3222.21      12      
974  MIN   MAX   6.084      1983.39      4       
975  MAX   MIN   10.041     3472.38      8       
976  MIN   MAX   8.965      2788.99      2       
977  MAX   MIN   6.260      2122.11      4       
978  MIN   MAX   12.937     4111.11      37      
979  MAX   MIN   5.177      1858.00      5       
980  MIN   MAX   17.305     5889.00      62      
981  MAX   MIN   8.768      3500.38      64      
982  MIN   MAX   12.140     4421.38      80      
983  MAX   MIN   9.076      3706.73      77      
984  MIN   MAX   8.824      3276.87      40      
985  MAX   MIN   13.143     5311.14      90      
986  MIN   MAX   6.211      2179.98      5       
987  MAX   MIN   6.963      2595.98      33      
988  MIN   MAX   7.654      2654.58      32      
989  MAX   MIN   10.605     3959.58      78      
990  MIN   MAX   9.314      3109.00      45      
991  MAX   MIN   6.397      2334.16      66      
992  MIN   MAX   10.953     3740.97      81      
993  MAX   MIN   5.882      2228.81      49      
994  MIN   MAX   10.682     3810.00      181     
995  MAX   MIN   9.932      3920.85      103     
996  MIN   MAX   6.665      2369.85      77      
997  MAX   MIN   8.240      3125.00      57      
998  MIN   MAX   6.034      2100.00      113     
999  MAX   MIN   15.989     5900.00      150     
1000 MIN   MAX   24.165     7491.00      171     
1001 MAX   MIN   7.038      2709.00      42      
1002 MIN   MAX   5.305      1898.40      56      
1003 MAX   MIN   8.174      3080.04      95      
1004 MIN   MAX   19.450     6729.64      319     
1005 MAX   MIN   19.342     7994.00      457     
1006 MIN   MAX   8.404      2801.72      33      
1007 MAX   MIN   13.752     4969.72      111     
1008 MIN   MAX   6.712      2092.00      13      
1009 MAX   MIN   13.394     4455.00      41      
1010 MIN   MAX   21.094     6076.00      93      
1011 MAX   MIN   7.438      2594.43      62      
1012 MIN   MAX   9.953      3213.43      87      
1013 MAX   MIN   15.068     5349.00      120     
1014 MIN   MAX   21.389     6449.00      325     
1015 MAX   MIN   10.658     3901.00      243     
1016 MIN   MAX   9.997      3268.85      254     
1017 MAX   MIN   7.902      2842.30      79      
1018 MIN   MAX   6.018      1993.33      61      
1019 MAX   MIN   8.662      3041.88      201     
1020 MIN   MAX   8.110      2601.43      357     
1021 MAX   MIN   9.021      3128.43      211     
1022 MIN   MAX   5.183      1635.25      64      
1023 MAX   MIN   11.774     3907.25      516     
1024 MIN   MAX   35.938     10521.97     540     
1025 MAX   MIN   5.932      2360.98      1       
1026 MIN   MAX   8.310      3111.01      72      
1027 MAX   MIN   10.276     4167.00      31      
1028 MIN   MAX   12.415     4517.00      130     
1029 MAX   MIN   6.325      2586.77      183     
1030 MIN   MAX   11.186     4285.77      170     
1031 MAX   MIN   11.950     5090.44      308     
1032 MIN   MAX   6.561      2461.10      50      
1033 MAX   MIN   6.597      2636.96      62      
1034 MIN   MAX   21.368     7977.30      263     
1035 MAX   MIN   5.586      2531.00      75      
1036 MIN   MAX   9.267      3964.47      249     
1037 MAX   MIN   6.361      2973.47      100     
1038 MIN   MAX   9.993      4374.00      164     
1039 MAX   MIN   5.492      2644.00      113     
1040 MIN   MAX   5.613      2553.83      53      
1041 MAX   MIN   8.586      4126.13      293     
1042 MIN   MAX   14.962     6572.30      408     
1043 MAX   MIN   8.416      4250.00      295     
1044 MIN   MAX   7.313      3382.27      245     
1045 MAX   MIN   6.287      3120.27      288     
1046 MIN   MAX   13.777     6408.00      584     
1047 MAX   MIN   19.042     10076.95     47      
1048 MIN   MAX   11.866     5083.84      2       
1049 MAX   MIN   7.334      3514.87      67      
1050 MIN   MAX   6.728      2987.95      130     
1051 MAX   MIN   6.894      3267.68      116     
1052 MIN   MAX   6.226      2747.71      256     
1053 MAX   MIN   7.487      3510.00      2       
1054 MIN   MAX   12.620     5473.20      446     
1055 MAX   MIN   17.696     8643.20      266     
1056 MIN   MAX   8.555      3439.00      42      
1057 MAX   MIN   9.255      4039.00      42      
1058 MIN   MAX   14.141     5600.00      234     
1059 MAX   MIN   10.011     4525.00      14      
1060 MIN   MAX   6.208      2525.00      41      
1061 MAX   MIN   5.671      2450.00      137     
1062 MIN   MAX   8.834      3600.00      73      
1063 MAX   MIN   8.109      3596.12      185     
1064 MIN   MAX   41.923     17085.16     1230    
1065 MAX   MIN   6.847      3960.04      97      
1066 MIN   MAX   16.804     9054.00      289     
1067 MAX   MIN   6.308      3970.00      192     
1068 MIN   MAX   13.631     8037.00      266     
1069 MAX   MIN   11.178     7489.37      389     
1070 MIN   MAX   7.058      4200.00      99      
1071 MAX   MIN   8.963      5710.63      157     
1072 MIN   MAX   6.552      3800.00      118     
1073 MAX   MIN   6.440      3980.00      20      
1074 MIN   MAX   8.924      5160.00      87      
1075 MAX   MIN   5.676      3575.00      239     
1076 MIN   MAX   8.190      4865.00      143     
1077 MAX   MIN   6.566      4220.00      370     
1078 MIN   MAX   14.904     8950.00      392     
1079 MAX   MIN   9.742      6722.00      202     
1080 MIN   MAX   6.622      4123.82      258     
1081 MAX   MIN   16.267     10801.82     361     
1082 MIN   MAX   7.967      4429.76      246     
1083 MAX   MIN   5.747      3449.75      81      
1084 MIN   MAX   5.062      2863.99      1       
1085 MAX   MIN   6.943      4127.00      80      
1086 MIN   MAX   7.379      4081.90      246     
1087 MAX   MIN   10.341     6142.26      270     
1088 MIN   MAX   10.533     5609.33      95      
1089 MAX   MIN   5.080      2990.42      48      
1090 MIN   MAX   5.909      3301.44      37      
1091 MAX   MIN   29.026     17176.69     343     
1092 MIN   MAX   18.330     7698.75      124     
1093 MAX   MIN   5.230      2599.05      85      
1094 MIN   MAX   10.268     4836.33      121     
1095 MAX   MIN   6.424      3336.33      82      
1096 MIN   MAX   5.350      2600.00      12      
1097 MAX   MIN   7.578      3880.00      117     
1098 MIN   MAX   5.928      2805.00      68      
1099 MAX   MIN   6.731      3374.00      43      
1100 MIN   MAX   8.612      4026.00      168     
1101 MAX   MIN   10.052     5104.25      101     
1102 MIN   MAX   8.380      3827.25      196     
1103 MAX   MIN   8.170      4044.00      171     
1104 MIN   MAX   6.257      2844.01      187     
1105 MAX   MIN   5.675      2741.16      97      
1106 MIN   MAX   14.331     6529.15      686     
1107 MAX   MIN   11.880     6188.00      218     
1108 MIN   MAX   5.770      2648.26      130     
1109 MAX   MIN   5.912      2870.26      45      
1110 MIN   MAX   5.062      2312.00      180     
1111 MAX   MIN   15.605     7489.00      580     
1112 MIN   MAX   5.644      2285.70      104     
1113 MAX   MIN   7.331      3136.70      74      
1114 MIN   MAX   12.232     4850.00      288     
1115 MAX   MIN   7.554      3361.44      552     
1116 MIN   MAX   5.752      2366.44      126     
1117 MAX   MIN   21.830     9497.00      168     
1118 MIN   MAX   6.424      2184.76      13      
1119 MAX   MIN   5.386      1949.38      19      
1120 MIN   MAX   6.587      2255.62      117     
1121 MAX   MIN   9.814      3581.83      55      
1122 MIN   MAX   18.236     6002.81      216     
1123 MAX   MIN   8.769      3412.97      35      
1124 MIN   MAX   9.051      3213.73      261     
1125 MAX   MIN   5.393      2088.13      116     
1126 MIN   MAX   7.186      2632.59      155     
1127 MAX   MIN   7.679      3015.20      175     
